test,size,spideroxide_median_ns,scrapy_median_ns,speedup
fingerprint,10000,20423188.0,172716563.0,8.456885526392844
dupefilter,10000,12935250.5,176490354.0,13.644138859158545
scheduler_insert,10000,24227833.5,233778479.0,9.649169786477193
scheduler_remove,10000,15709687.5,35688916.5,2.271777621292594
end_to_end,10000,41700500.0,264216250.0,6.336045131353341
fingerprint,100000,208984021.0,1837775104.0,8.793854645949223
dupefilter,100000,140853375.0,1876408916.5,13.321717825362722
scheduler_insert,100000,272258896.0,2424177771.0,8.903943293004465
scheduler_remove,100000,214439437.0,389060812.5,1.8143155845909071
end_to_end,100000,505125000.5,2716901875.5,5.378672353992901
